City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,75.0,light rain,-23.1203,-134.9692,People ThankYou
12,Kapaa,US,81.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Batticaloa,LK,78.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
14,Atuona,PF,77.85,clear sky,-9.8,-139.0333,Villa Enata
19,Shirgaon,IN,76.03,light rain,19.7,72.7,"Samarth Krupa Farm, Palghar"
24,Bubaque,GW,78.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
28,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
29,Butaritari,KI,82.53,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
35,Vijes,CO,84.18,broken clouds,3.6993,-76.4423,"Hotel "" Doña Gaby"""
39,Cabo San Lucas,MX,89.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
48,Chake Chake,TZ,75.81,scattered clouds,-5.2459,39.7666,Hotel Archipelago
49,Nautla,MX,81.48,clear sky,20.2167,-96.7833,Casa Blanca
52,Kieta,PG,78.98,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
53,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,San Pedro,PH,79.11,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
57,Agdangan,PH,79.14,overcast clouds,13.8725,121.9153,ISTOP OBER
59,Makakilo City,US,82.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
65,Hambantota,LK,78.42,broken clouds,6.1241,81.1185,Bungalow 63
68,Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
75,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
77,Balingasay,PH,80.08,clear sky,16.3573,119.8564,Rock Garden Resort
78,Morondava,MG,75.76,broken clouds,-20.2833,44.2833,La Case Bambou
79,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
83,Guerrero Negro,MX,75.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
84,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
86,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
87,Safaga,EG,80.24,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
91,Potam,MX,89.92,clear sky,27.6,-110.3833,Ejido La Pimienta
93,Rio Cuarto,AR,85.77,thunderstorm with rain,-33.1307,-64.3499,Grand Hotel Río Cuarto
105,Basco,PH,80.8,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
106,Faanui,PF,78.15,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Samarai,PG,82.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Hilo,US,81.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
115,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
123,Hirara,JP,75.58,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
125,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
127,Brownwood,US,83.28,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
138,Sola,VU,81.1,clear sky,-13.8833,167.55,Leumerus Bungalows
141,Buala,SB,81.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
144,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
147,Totness,SR,81.99,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
148,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
152,Padang,ID,77.47,moderate rain,-0.9492,100.3543,Mercure Padang
153,Le Vauclin,MQ,84.33,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
157,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
160,Caravelas,BR,75.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
170,Ankpa,NG,76.06,light rain,7.3706,7.6253,AA Suites
174,Batasan,PH,80.58,overcast clouds,12.7667,120.7833,CORDERO Beach Resort
176,Kahului,US,85.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
177,Bilma,NE,83.71,few clouds,18.6853,12.9164,Expeditions Ténére voyages
184,Jalingo,NG,81.23,broken clouds,8.8833,11.3667,Debright Motel
186,Padilla,CO,83.77,broken clouds,3.2204,-76.3139,La Granadina
187,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
188,Arawa,PG,77.63,moderate rain,-6.2132,155.5367,Coastline Guest House
194,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
207,Acapulco,MX,84.94,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Odienne,CI,79.27,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
217,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
218,Alugan,PH,80.85,overcast clouds,12.2188,125.4808,JM Lodge
220,Hithadhoo,MV,82.87,overcast clouds,-0.6,73.0833,Scoop Guest House
221,Inhambupe,BR,81.0,broken clouds,-11.7844,-38.3531,Hotel JVS
228,Port Blair,IN,80.37,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
229,Bushehr,IR,80.69,clear sky,28.9684,50.8385,Yas Hotel
231,Rock Sound,BS,80.49,overcast clouds,24.9,-76.2,Rock Sound Club
235,Tual,ID,83.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
236,San Policarpo,PH,81.28,overcast clouds,12.1791,125.5072,Agapita M. Nicart
238,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
241,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
242,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
243,Port Charlotte,US,78.98,broken clouds,26.9762,-82.0906,Knights Inn Port Charlotte
246,Mackay,AU,75.04,clear sky,-21.15,149.2,International Lodge Motel
