City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,17.27,clear sky
1,Bredasdorp,ZA,-34.5322,20.0403,58.28,88,73,2.3,broken clouds
2,Albany,US,42.6001,-73.9662,60.39,88,96,7.94,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,51.46,50,0,19.57,clear sky
4,Lar,IN,26.2039,83.9717,71.13,64,46,4.14,scattered clouds
5,Yellowknife,CA,62.456,-114.3525,31.41,80,40,7.0,scattered clouds
6,Husavik,IS,66.0449,-17.3389,39.11,90,100,16.98,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,75.0,85,100,21.14,light rain
8,Churapcha,RU,62.0025,132.4325,-12.82,100,97,2.93,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,64.42,77,20,7.0,few clouds
10,Ponta Do Sol,PT,32.6667,-17.1,73.71,77,32,7.25,scattered clouds
11,Ornskoldsvik,SE,63.2909,18.7153,43.75,100,90,5.75,fog
12,Kapaa,US,22.0752,-159.319,81.48,83,20,1.01,few clouds
13,Batticaloa,LK,7.7102,81.6924,78.49,88,100,7.49,overcast clouds
14,Atuona,PF,-9.8,-139.0333,77.85,67,5,17.27,clear sky
15,Mount Gambier,AU,-37.8333,140.7667,40.64,97,20,4.65,few clouds
16,Busselton,AU,-33.65,115.3333,42.04,90,87,6.08,overcast clouds
17,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,100,16.84,overcast clouds
18,Lebu,CL,-37.6167,-73.65,55.71,69,100,15.82,overcast clouds
19,Shirgaon,IN,19.7,72.7,76.03,50,78,9.62,light rain
20,Batemans Bay,AU,-35.7167,150.1833,51.1,73,9,3.47,clear sky
21,Carnarvon,AU,-24.8667,113.6333,66.27,68,0,12.66,clear sky
22,Nanortalik,GL,60.1432,-45.2371,34.02,75,20,3.74,few clouds
23,Bethel,US,41.3712,-73.414,61.99,90,40,1.01,scattered clouds
24,Bubaque,GW,11.2833,-15.8333,78.87,79,100,5.61,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,100,75,10.36,light snow
26,Cape Town,ZA,-33.9258,18.4232,63.09,78,0,1.01,clear sky
27,Sorland,NO,67.667,12.6934,48.85,89,100,20.24,overcast clouds
28,Vaini,TO,-21.2,-175.2,77.16,88,20,9.22,few clouds
29,Butaritari,KI,3.0707,172.7902,82.53,72,39,6.44,scattered clouds
30,Mahebourg,MU,-20.4081,57.7,71.89,88,20,3.44,few clouds
31,Mataura,NZ,-46.1927,168.8643,55.26,56,100,8.21,light rain
32,Mansehra,PK,34.3333,73.2,54.39,39,0,6.08,clear sky
