City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhigalovo,RU,2021-10-29 18:40:03,54.8097,105.1578,25.41,55,100,2.98
1,Erenhot,CN,2021-10-29 18:40:04,43.6475,111.9767,39.27,54,0,9.24
2,Broome,US,2021-10-29 18:40:05,42.2506,-75.833,57.42,55,75,4.0
3,Cidreira,BR,2021-10-29 18:40:05,-30.1811,-50.2056,70.63,79,100,21.07
4,Khatanga,RU,2021-10-29 18:40:06,71.9667,102.5,1.76,83,100,11.21
5,Ixtapa,MX,2021-10-29 18:40:07,20.7,-105.2,86.23,66,1,0.0
6,Vaini,TO,2021-10-29 18:40:07,-21.2,-175.2,71.76,94,75,4.61
7,Saint George,US,2021-10-29 18:37:54,37.1041,-113.5841,79.27,41,1,3.0
8,Samfya,ZM,2021-10-29 18:40:08,-11.3649,29.5565,76.96,36,28,5.77
9,Hermanus,ZA,2021-10-29 18:40:08,-34.4187,19.2345,61.9,90,11,7.4
10,Saldanha,ZA,2021-10-29 18:40:09,-33.0117,17.9442,64.45,89,0,7.02
11,Mehamn,NO,2021-10-29 18:40:09,71.0357,27.8492,37.35,81,75,18.41
12,Casa Grande,US,2021-10-29 18:40:09,32.8795,-111.7573,89.8,17,1,1.01
13,Butaritari,KI,2021-10-29 18:40:10,3.0707,172.7902,83.25,71,6,17.0
14,Castro,BR,2021-10-29 18:40:10,-24.7911,-50.0119,70.36,72,93,6.69
15,Kununurra,AU,2021-10-29 18:40:11,-15.7667,128.7333,82.38,74,12,5.75
16,Vanimo,PG,2021-10-29 18:40:11,-2.6741,141.3028,77.34,90,93,3.15
17,Turukhansk,RU,2021-10-29 18:40:12,65.8167,87.9833,29.52,97,100,15.61
18,Nalut,LY,2021-10-29 18:40:12,30.3333,10.85,68.72,38,1,6.64
19,Janow Lubelski,PL,2021-10-29 18:35:49,50.707,22.4104,54.23,66,8,9.35
20,Semme,FR,2021-10-29 18:40:13,46.1963,1.5007,54.01,94,100,7.96
21,Vao,NC,2021-10-29 18:40:13,-22.6667,167.4833,70.39,72,87,10.54
22,Kavieng,PG,2021-10-29 18:40:14,-2.5744,150.7967,82.67,74,98,8.1
23,Tiksi,RU,2021-10-29 18:40:14,71.6872,128.8694,8.2,94,97,6.55
24,Iqaluit,CA,2021-10-29 18:40:14,63.7506,-68.5145,37.13,81,90,13.0
25,Saint Anthony,US,2021-10-29 18:40:15,45.0205,-93.218,57.81,65,1,3.0
26,Hvide Sande,DK,2021-10-29 18:40:15,56.0045,8.1294,55.69,78,100,26.37
27,Bengkulu,ID,2021-10-29 18:40:16,-3.8004,102.2655,75.56,93,88,5.06
28,Dingle,PH,2021-10-29 18:40:16,10.9995,122.6711,75.63,91,63,7.4
29,Half Moon Bay,US,2021-10-29 18:35:29,37.4636,-122.4286,76.32,78,40,3.44
30,Guerrero Negro,MX,2021-10-29 18:36:06,27.9769,-114.0611,81.45,33,0,2.75
31,Casper,US,2021-10-29 18:40:17,42.8666,-106.3131,68.5,42,1,24.0
32,Kachug,RU,2021-10-29 18:40:17,53.9606,105.8817,24.37,53,35,2.1
33,Cherskiy,RU,2021-10-29 18:40:17,68.75,161.3,-20.13,99,100,1.3
34,Ancud,CL,2021-10-29 18:40:18,-41.8697,-73.8203,54.93,90,100,11.43
